Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-09-2021 15:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
95,,,"Vikas Sadan, Gurugram - HSPCB",47.00
96,,Hisar,"Urban Estate-II, Hisar - HSPCB",42.00
97,,Jind,"Police Lines, Jind - HSPCB",26.00
98,,Kaithal,"Rishi Nagar, Kaithal - HSPCB",38.00
99,,Karnal,"Sector-12, Karnal - HSPCB",31.00
100,,Kurukshetra ,"Sector-7, Kurukshetra - HSPCB",37.00
101,,Mandikhera,"General Hospital, Mandikhera - HSPCB",27.00
102,,Manesar,"Sector-2 IMT, Manesar - HSPCB",No data available in Last 24 hour.
103,,Narnaul,"Shastri Nagar, Narnaul - HSPCB",65.00
104,,Palwal ,"Shyam Nagar, Palwal - HSPCB",58.00
105,,Panchkula,"Sector-6, Panchkula - HSPCB ",51.00
106,,Panipat,"Sector-18, Panipat - HSPCB",55.00
107,,Rohtak,"MD University, Rohtak - HSPCB",104.00
108,,Sirsa,"F-Block, Sirsa - HSPCB",36.00
109,,Sonipat,"Murthal, Sonipat - HSPCB",115.00
110,,Yamunanagar,"Gobind Pura, Yamuna Nagar - HSPCB",123.00
111,Jammu and Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",167.00
112,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",Insufficient data available in last 24 hours.
113,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",33.00
114,,Bengaluru,"BTM Layout, Bengaluru - CPCB",76.00
115,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",48.00
116,,,"Bapuji Nagar, Bengaluru - KSPCB",40.00
117,,,"City Railway Station, Bengaluru - KSPCB",128.00
118,,,"Hebbal, Bengaluru - KSPCB",36.00
119,,,"Hombegowda Nagar, Bengaluru - KSPCB",32.00
120,,,"Jayanagar 5th Block, Bengaluru - KSPCB",31.00
121,,,"Peenya, Bengaluru - CPCB",Insufficient data available in last 24 hours.
122,,,"Sanegurava Halli, Bengaluru - KSPCB",36.00
